class,trial,directory,layout_id,tx_duration_s,valid,role,notes
empty,empty_05m_formal_gate_01,20260811_153018_1t2r_cam_empty_05m_formal_gate_01,5m_equilateral_20260811,45,yes,main,formal empty baseline
empty,empty_05m_pilot_02,20260811_160836_1t2r_cam_empty_05m_pilot_02,5m_equilateral_20260811,35,yes,main,stable empty baseline
empty,empty_05m_pilot_03,20260811_161227_1t2r_cam_empty_05m_pilot_03,5m_equilateral_20260811,35,yes,main,node1 light drift retained
walk_link2,walk_link2_05m_pilot_01,20260811_161723_1t2r_cam_walk_link2_05m_pilot_01,5m_equilateral_20260811,35,yes,main,passed
walk_link2,walk_link2_05m_pilot_02,20260811_162114_1t2r_cam_walk_link2_05m_pilot_02,5m_equilateral_20260811,35,yes,main,passed
walk_link2,walk_link2_05m_pilot_03,20260811_162520_1t2r_cam_walk_link2_05m_pilot_03,5m_equilateral_20260811,35,yes,main,passed
arm_wave,arm_wave_05m_pilot_01,20260811_163245_1t2r_cam_arm_wave_05m_pilot_01,5m_equilateral_20260811,35,yes,main,passed
arm_wave,arm_wave_05m_pilot_02,20260811_163645_1t2r_cam_arm_wave_05m_pilot_02,5m_equilateral_20260811,35,yes,main,passed
arm_wave,arm_wave_05m_pilot_03,20260811_164047_1t2r_cam_arm_wave_05m_pilot_03,5m_equilateral_20260811,35,yes,main,passed
leg_lift,leg_lift_05m_pilot_01,20260811_164531_1t2r_cam_leg_lift_05m_pilot_01,5m_equilateral_20260811,35,yes,main,passed
leg_lift,leg_lift_05m_pilot_02_retry_01,20260811_165841_1t2r_cam_leg_lift_05m_pilot_02_retry_01,5m_equilateral_20260811,35,yes,main,door restored closed; valid retry
leg_lift,leg_lift_05m_pilot_03,20260811_170325_1t2r_cam_leg_lift_05m_pilot_03,5m_equilateral_20260811,35,yes,main,passed
empty_chair,empty_chair_05m_pilot_01,20260811_171557_1t2r_cam_empty_chair_05m_pilot_01,5m_equilateral_chair_20260811,45,yes,calibration,sit-to-stand chair-layout baseline; not one of main 15
sit_to_stand,sit_to_stand_05m_pilot_01,20260811_172125_1t2r_cam_sit_to_stand_05m_pilot_01,5m_equilateral_chair_20260811,35,yes,main,passed; 2 camera pairs beyond half-frame out of 6860
sit_to_stand,sit_to_stand_05m_pilot_02,20260811_172555_1t2r_cam_sit_to_stand_05m_pilot_02,5m_equilateral_chair_20260811,35,yes,main,passed
sit_to_stand,sit_to_stand_05m_pilot_03,20260811_172958_1t2r_cam_sit_to_stand_05m_pilot_03,5m_equilateral_chair_20260811,35,yes,main,passed; initial depth warm-up does not overlap action
leg_lift,leg_lift_05m_pilot_02,20260811_164958_1t2r_cam_leg_lift_05m_pilot_02,5m_equilateral_20260811,35,no,excluded,left wooden door open; raw data retained locally
